OriginalRecipeName: aaa.rcp

TotalStep,RcpType,StepGrpBgn,StepGrpEnd,StepGrpCyc,IdleStopBegin,KeepLastCon,Thickness
L05-V68,0,0,0,0,0,0,0
L05-V69,0,0,0,0,0,0,0
L05-V70,0,0,0,0,0,0,0
L05-V71,0,0,0,0,0,0,0
L05-V72,0,0,0,0,0,0,0
L05-V73,0,0,0,0,0,0,0
L05-V74,0,0,0,0,0,0,0
L05-V75,0,0,0,0,0,0,0
L05-V76,0,0,0,0,0,0,0
L05-V77,0,0,0,0,0,0,0
L05-V78,0,0,0,0,0,0,0
L05-V79,0,0,0,0,0,0,0
L05-V80,0,0,0,0,0,0,0
L05-V81,0,0,0,0,0,0,0
L05-V82,0,0,0,0,0,0,0
L05-V83,0,0,0,0,0,0,0
L05-V84,0,0,0,0,0,0,0
L05-V85,0,0,0,0,0,0,0
L05-V86,0,0,0,0,0,0,0
L05-V87,0,0,0,0,0,0,0
L05-V88,0,0,0,0,0,0,0
L05-V89,0,0,0,0,0,0,0
L05-V90,0,0,0,0,0,0,0
L05-V91,0,0,0,0,0,0,0
L05-V92,0,0,0,0,0,0,0
L05-V93,0,0,0,0,0,0,0
L05-V94,0,0,0,0,0,0,0
L05-V95,0,0,0,0,0,0,0
L05-V96,0,0,0,0,0,0,0
L05-V97,0,0,0,0,0,0,0
L05-V98,0,0,0,0,0,0,0
L05-V99,0,0,0,0,0,0,0
L05-V100,0,0,0,0,0,0,0
L05-V101,0,0,0,0,0,0,0
L05-V102,0,0,0,0,0,0,0
L05-V103,0,0,0,0,0,0,0
L05-V104,0,0,0,0,0,0,0
L05-V105,0,0,0,0,0,0,0
L05-V106,0,0,0,0,0,0,0
L05-V107,0,0,0,0,0,0,0
L05-V108,0,0,0,0,0,0,0
L05-V109,0,0,0,0,0,0,0
L05-V110,0,0,0,0,0,0,0
L05-V111,0,0,0,0,0,0,0

L06-Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L06-V01,0,0,0,0,0,0,0
